git_pushes,iso2_code,year,quarter
19670932,EU,2020,4
7291401,IN,2020,4
5386337,CN,2020,4
4097759,DE,2020,4
4073732,GB,2020,4
3652708,RU,2020,4
3564724,BR,2020,4
3316719,FR,2020,4
2994468,CA,2020,4
2976522,KR,2020,4
2914353,JP,2020,4
1727480,ES,2020,4
1466610,NL,2020,4
1466290,PL,2020,4
1455265,UA,2020,4
1347948,ID,2020,4
1275408,AU,2020,4
1178354,HK,2020,4
1149175,IT,2020,4
1045583,VN,2020,4
992488,SE,2020,4
874366,TW,2020,4
848814,CH,2020,4
826881,SG,2020,4
807280,MX,2020,4
800292,AR,2020,4
734341,IL,2020,4
705837,CO,2020,4
676414,TR,2020,4
607340,BE,2020,4
604758,NO,2020,4
534704,CZ,2020,4
505384,DK,2020,4
495854,FI,2020,4
475998,BY,2020,4
463426,BD,2020,4
424637,AT,2020,4
409448,PT,2020,4
399255,RO,2020,4
397048,IE,2020,4
395679,PH,2020,4
389724,PK,2020,4
388590,TH,2020,4
359836,NG,2020,4
356688,HU,2020,4
296108,NZ,2020,4
286834,EG,2020,4
277257,CL,2020,4
270853,BG,2020,4
262439,MY,2020,4
260819,GR,2020,4
259241,ZA,2020,4
238358,PE,2020,4
233781,LK,2020,4
219516,IR,2020,4
200384,KE,2020,4
181758,RS,2020,4
149557,TN,2020,4
146981,LT,2020,4
142345,NP,2020,4
136194,HR,2020,4
132705,SK,2020,4
130640,MA,2020,4
128691,KZ,2020,4
121513,EE,2020,4
113750,CR,2020,4
109776,EC,2020,4
107996,AE,2020,4
103109,SA,2020,4
96660,VE,2020,4
91337,UY,2020,4
88815,SI,2020,4
85140,LV,2020,4
83585,GT,2020,4
64097,JO,2020,4
63949,UZ,2020,4
61419,MD,2020,4
60893,MM,2020,4
60683,LB,2020,4
60105,DO,2020,4
58549,GH,2020,4
58223,DZ,2020,4
57751,BO,2020,4
54767,KG,2020,4
51778,GE,2020,4
48340,SV,2020,4
47256,BA,2020,4
46989,RW,2020,4
46037,AM,2020,4
42597,AZ,2020,4
40593,PS,2020,4
39323,UG,2020,4
39075,IS,2020,4
36342,MK,2020,4
33830,LU,2020,4
31609,HN,2020,4
30943,KH,2020,4
29006,AL,2020,4
27687,IQ,2020,4
25857,CY,2020,4
24750,PR,2020,4
24301,CM,2020,4
22122,PA,2020,4
21346,MT,2020,4
20960,PY,2020,4
20878,ET,2020,4
20138,JM,2020,4
17801,TZ,2020,4
17003,NI,2020,4
15668,KW,2020,4
15538,SN,2020,4
14953,CU,2020,4
14892,MN,2020,4
14706,MG,2020,4
14451,QA,2020,4
13467,SY,2020,4
13423,RE,2020,4
12766,MO,2020,4
11579,BH,2020,4
11357,MU,2020,4
10644,ZW,2020,4
9218,OM,2020,4
9136,CI,2020,4
9021,ME,2020,4
8964,SD,2020,4
8865,AO,2020,4
8655,TT,2020,4
8436,YE,2020,4
7211,TJ,2020,4
6993,ZM,2020,4
6825,MZ,2020,4
6432,CD,2020,4
6092,BJ,2020,4
5249,LA,2020,4
4882,BN,2020,4
4843,MV,2020,4
3756,HT,2020,4
3630,NC,2020,4
3573,BB,2020,4
3443,AF,2020,4
3373,BT,2020,4
3257,LY,2020,4
3100,NA,2020,4
3047,MW,2020,4
2986,GP,2020,4
2895,BF,2020,4
2866,BW,2020,4
2826,SO,2020,4
2570,TG,2020,4
2361,BZ,2020,4
2305,IM,2020,4
2305,SL,2020,4
2004,CV,2020,4
1811,BS,2020,4
1519,LR,2020,4
1501,ML,2020,4
1264,BI,2020,4
1100,MR,2020,4
1022,GY,2020,4
943,TM,2020,4
22731866,US,2021,1
21154432,EU,2021,1
7080138,IN,2021,1
4986645,CN,2021,1
4616177,GB,2021,1
4509036,DE,2021,1
4013438,BR,2021,1
3633785,RU,2021,1
3529009,FR,2021,1
3492171,KR,2021,1
3373683,CA,2021,1
3051805,JP,2021,1
1844913,ES,2021,1
1594133,PL,2021,1
1568611,NL,2021,1
1530375,UA,2021,1
1364049,ID,2021,1
1340108,HK,2021,1
1313376,IT,2021,1
1248290,AU,2021,1
991082,SE,2021,1
922800,TW,2021,1
901069,VN,2021,1
858400,TR,2021,1
853284,CH,2021,1
828908,MX,2021,1
768070,SG,2021,1
754075,IL,2021,1
699743,CO,2021,1
679915,AR,2021,1
626305,BE,2021,1
617631,BD,2021,1
578372,CZ,2021,1
569431,NO,2021,1
545754,BY,2021,1
511903,FI,2021,1
486211,PT,2021,1
461825,AT,2021,1
457531,DK,2021,1
440786,IE,2021,1
439880,RO,2021,1
438053,TH,2021,1
432585,PH,2021,1
392588,PK,2021,1
385057,NG,2021,1
375518,EG,2021,1
358117,HU,2021,1
334279,BG,2021,1
309119,NZ,2021,1
280025,GR,2021,1
272391,ZA,2021,1
268844,MY,2021,1
243093,CL,2021,1
238068,KE,2021,1
232459,PE,2021,1
227874,IR,2021,1
215903,LK,2021,1
202837,RS,2021,1
180763,MA,2021,1
166320,TN,2021,1
151440,KZ,2021,1
149795,LT,2021,1
145825,NP,2021,1
145712,SK,2021,1
134533,HR,2021,1
133343,EC,2021,1
118618,VE,2021,1
117170,AE,2021,1
113419,JO,2021,1
110311,EE,2021,1
105061,SA,2021,1
102173,LV,2021,1
101218,CR,2021,1
88816,SI,2021,1
88791,UY,2021,1
87135,UZ,2021,1
78474,BA,2021,1
77336,GT,2021,1
67004,AM,2021,1
66536,DO,2021,1
65415,MD,2021,1
63988,GH,2021,1
63711,GE,2021,1
59438,LB,2021,1
56869,KG,2021,1
56173,DZ,2021,1
53767,AZ,2021,1
52203,ET,2021,1
50981,BO,2021,1
42271,RW,2021,1
40298,SV,2021,1
39144,LU,2021,1
38884,PS,2021,1
38854,MK,2021,1
37344,IS,2021,1
36337,IQ,2021,1
35675,HN,2021,1
35587,PR,2021,1
33691,UG,2021,1
33487,AL,2021,1
33327,KH,2021,1
32835,MM,2021,1
31341,CY,2021,1
27472,CM,2021,1
27213,MT,2021,1
23129,TZ,2021,1
21877,SN,2021,1
20213,PA,2021,1
19632,PY,2021,1
18476,NI,2021,1
17212,CU,2021,1
16501,MN,2021,1
16270,KW,2021,1
16041,JM,2021,1
15939,QA,2021,1
15291,SY,2021,1
